# $Id$
# PcbXY Version 1.0
# Date: Sun 17 Oct 2010 23:32:30 GMT UTC
# Author: Richard Barlow
# Title: (unknown) - PCB X-Y
# RefDes, Description, Value, X, Y, rotation, top/bottom
# X,Y in mils.  rotation in degrees.
# --------------------------------------------
C3,"0805","sr-c-4u7-0805-16v",1704.73,1206.70,0,top
C2,"0805","sr-c-4u7-0805-16v",1895.67,1564.97,180,top
S/R6,"sr_0603","sr-r-100",687.01,866.50,270,bottom
S/R5,"sr_0603","sr-r-100",742.13,866.50,270,bottom
S/R4,"sr_0603","sr-r-330",653.54,1356.66,90,bottom
S/R7,"sr_0603","sr-r-100",617.75,1440.95,180,bottom
S/Q1,"SOT23","sr-fet-p-bss84lt1g",598.65,852.74,180,bottom
S/R8,"sr_0603","sr-r-330",596.46,1356.66,90,bottom
S/R2,"sr_0603","sr-r-10k",556.73,1068.90,0,bottom
S/R1,"sr_0603","sr-r-10k",556.73,1009.86,0,bottom
S/C4,"sr_0603","sr-c-100n",76.41,1368.12,0,bottom
S/C6,"sr_0603","sr-c-100n",84.28,1301.20,180,bottom
S/R3,"sr_0603","sr-r-1k",83.04,1442.92,180,bottom
S/C1,"sr_0603","sr-c-470n",323.19,1844.49,0,bottom
S/C3,"sr_0603","sr-c-470n",59.06,2171.62,270,bottom
C15,"sr_0603","sr-c-100n",2253.94,1602.01,270,bottom
C14,"sr_0603","sr-c-470n",1359.88,1120.08,0,bottom
R35,"sr_0603","sr-r-10k",2185.04,1602.72,270,bottom
LED2,"sr_0603_led","sr-led-red-0603",1573.19,1080.72,180,top
R34,"sr_0603","sr-r-1k",1627.95,1088.95,90,bottom
(unknown),"hole-M3","(unknown)",2214.57,147.64,0,top
(unknown),"hole-M3","(unknown)",147.64,147.64,0,top
(unknown),"hole-M3","(unknown)",2214.57,2490.16,0,top
(unknown),"hole-M3","(unknown)",147.64,2490.16,0,top
R12,"sr_0603","sr-r-10k",1356.66,771.67,0,bottom
R17,"sr_0603","sr-r-10k",1539.73,1057.11,180,bottom
R8,"sr_0603","sr-r-330",1359.88,1181.12,0,bottom
R3,"sr_0603","sr-r-47k",1222.80,1181.12,0,bottom
C9,"sr_0603","sr-c-470n",1222.80,1246.09,0,bottom
R2,"sr_0603","sr-r-1k",1163.74,1401.59,0,bottom
C10,"sr_0603","sr-c-470n",1247.67,1787.42,0,bottom
R11,"sr_0603","sr-r-1k",1539.73,1120.10,180,bottom
R16,"sr_0603","sr-r-100k",1576.77,897.30,90,bottom
R9,"sr_0603","sr-r-100k",1464.21,771.67,180,bottom
R4,"sr_0603","sr-r-100k",1155.51,951.16,270,bottom
